2022-04-21 15:59:55.882 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - test logger
2022-04-21 16:04:58.559 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - test logger
2022-04-21 16:05:54.533 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - test info
2022-04-21 16:18:02.508 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - Starting DataflowWebApplication using Java 11 on LAPTOP-S9D4HSHI with PID 24960 (D:\Program Pratices\DataFlow\dataflow-web\target\classes started by Quan in D:\Program Pratices\DataFlow)
2022-04-21 16:18:02.529 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-21 16:18:05.356 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-04-21 16:18:05.382 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-04-21 16:18:05.383 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-21 16:18:05.384 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-21 16:18:05.733 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-21 16:18:05.734 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3109 ms
2022-04-21 16:18:07.240 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2022-04-21 16:18:07.304 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-04-21 16:18:07.346 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-04-21 16:18:07.418 [main] INFO  c.quan.dataflow.dataflowweb.DataflowWebApplication - Started DataflowWebApplication in 5.749 seconds (JVM running for 8.623)
2022-04-21 16:18:10.093 [RMI TCP Connection(2)-192.168.4.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-21 16:18:10.095 [RMI TCP Connection(2)-192.168.4.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-21 16:18:10.098 [RMI TCP Connection(2)-192.168.4.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
